UMLS_protein	UMLS_gene	NCBI_gene	UniProtKB
UMLS:C0018664	UMLS:C1413366	NCBIGene:1081	UniProtKB:A0A087WYZ4
UMLS:C0018664	UMLS:C1413366	NCBIGene:1081	UniProtKB:P01215
UMLS:C0018664	UMLS:C1413366	NCBIGene:1081	UniProtKB:Q6I9S8
UMLS:C0020063	UMLS:C1419072	NCBIGene:5741	UniProtKB:P01270
UMLS:C0049866	UMLS:C1414040	NCBIGene:1717	UniProtKB:A0A024R5F7
UMLS:C0049866	UMLS:C1414040	NCBIGene:1717	UniProtKB:Q9UBM7
UMLS:C0051268	UMLS:C1412045	NCBIGene:1	UniProtKB:P04217
UMLS:C0051268	UMLS:C1412045	NCBIGene:1	UniProtKB:V9HWD8
UMLS:C0054878	UMLS:C1332127	NCBIGene:566	UniProtKB:P20160
UMLS:C0059604	UMLS:C1414459	NCBIGene:2098	UniProtKB:A0A140VJJ2
UMLS:C0059604	UMLS:C1414459	NCBIGene:2098	UniProtKB:P10768
UMLS:C0061671	UMLS:C1416485	NCBIGene:3674	UniProtKB:P08514
UMLS:C0062887	UMLS:C1415585	NCBIGene:3133	UniProtKB:A0A4E9D3W4
UMLS:C0062887	UMLS:C1415585	NCBIGene:3133	UniProtKB:A8K8M6
UMLS:C0062887	UMLS:C1415585	NCBIGene:3133	UniProtKB:O19682
UMLS:C0062887	UMLS:C1415585	NCBIGene:3133	UniProtKB:P13747
UMLS:C0063017	UMLS:C1418856	NCBIGene:5539	UniProtKB:P01298
UMLS:C0064435	UMLS:C1337034	NCBIGene:7520	UniProtKB:P13010
UMLS:C0067060	UMLS:C1417558	NCBIGene:4640	UniProtKB:B2R643
UMLS:C0067060	UMLS:C1417558	NCBIGene:4640	UniProtKB:Q9UBC5
UMLS:C0069304	UMLS:C1418768	NCBIGene:5460	UniProtKB:D2IYK3
UMLS:C0069304	UMLS:C1418768	NCBIGene:5460	UniProtKB:F2Z381
UMLS:C0069304	UMLS:C1418768	NCBIGene:5460	UniProtKB:M1S623
UMLS:C0069304	UMLS:C1418768	NCBIGene:5460	UniProtKB:Q01860
UMLS:C0070121	UMLS:C3469646	NCBIGene:140683	UniProtKB:A8K739
UMLS:C0070121	UMLS:C3469646	NCBIGene:140683	UniProtKB:Q96DR5
UMLS:C0070332	UMLS:C1539110	NCBIGene:55748	UniProtKB:Q96KP4
UMLS:C0071189	UMLS:C1334092	NCBIGene:3484	UniProtKB:P08833
UMLS:C0071190	UMLS:C1418244	NCBIGene:5047	UniProtKB:A6XNE0
UMLS:C0071190	UMLS:C1418244	NCBIGene:5047	UniProtKB:B2R4F9
UMLS:C0071190	UMLS:C1418244	NCBIGene:5047	UniProtKB:B4E3C0
UMLS:C0071190	UMLS:C1418244	NCBIGene:5047	UniProtKB:P09466
UMLS:C0071191	UMLS:C1422162	NCBIGene:10204	UniProtKB:P61970
UMLS:C0072090	UMLS:C1412480	NCBIGene:347	UniProtKB:P05090
UMLS:C0072359	UMLS:C1826565	NCBIGene:5037	UniProtKB:D9IAI1
UMLS:C0072359	UMLS:C1826565	NCBIGene:5037	UniProtKB:P30086
UMLS:C0072523	UMLS:C1366563	NCBIGene:7031	UniProtKB:P04155
UMLS:C0073056	UMLS:C1419339	NCBIGene:5973	UniProtKB:P51606
UMLS:C0073263	UMLS:C1335639	NCBIGene:6130	UniProtKB:P62424
UMLS:C0073332	UMLS:C1419733	NCBIGene:6189	UniProtKB:B7Z3M5
UMLS:C0073332	UMLS:C1419733	NCBIGene:6189	UniProtKB:P61247
UMLS:C0073548	UMLS:C1415148	NCBIGene:2779	UniProtKB:P11488
UMLS:C0074365	UMLS:C1413778	NCBIGene:1475	UniProtKB:P01040
UMLS:C0080222	UMLS:C1366557	NCBIGene:7040	UniProtKB:A0A499FJK2
UMLS:C0080222	UMLS:C1366557	NCBIGene:7040	UniProtKB:P01137
UMLS:C0081820	UMLS:C1413226	NCBIGene:962	UniProtKB:A0A087X1S7
UMLS:C0081820	UMLS:C1413226	NCBIGene:962	UniProtKB:P09326
UMLS:C0081944	UMLS:C1332716	NCBIGene:971	UniProtKB:P21854
UMLS:C0081944	UMLS:C1332716	NCBIGene:971	UniProtKB:Q5TLG3
UMLS:C0082613	UMLS:C1333571	NCBIGene:2354	UniProtKB:P53539
UMLS:C0082708	UMLS:C0812382	NCBIGene:2737	UniProtKB:A0A2R8YGX0
UMLS:C0082708	UMLS:C0812382	NCBIGene:2737	UniProtKB:P10071
UMLS:C0082939	UMLS:C1420360	NCBIGene:6691	UniProtKB:A0A087WTA9
UMLS:C0082939	UMLS:C1420360	NCBIGene:6691	UniProtKB:D6RC51
UMLS:C0082939	UMLS:C1420360	NCBIGene:6691	UniProtKB:D6RI10
UMLS:C0082939	UMLS:C1420360	NCBIGene:6691	UniProtKB:P20155
UMLS:C0083027	UMLS:C1334075	NCBIGene:3384	UniProtKB:P13598
UMLS:C0083027	UMLS:C1334075	NCBIGene:3384	UniProtKB:Q6FHE2
UMLS:C0083040	UMLS:C1412135	NCBIGene:56	UniProtKB:P26436
UMLS:C0083344	UMLS:C1332009	NCBIGene:429	UniProtKB:P50553
UMLS:C0083453	UMLS:C1334498	NCBIGene:4192	UniProtKB:P21741
UMLS:C0083804	UMLS:C1538503	NCBIGene:23225	UniProtKB:Q8TEM1
UMLS:C0084063	UMLS:C1415062	NCBIGene:2689	UniProtKB:A0A0M6L0J9
UMLS:C0084063	UMLS:C1415062	NCBIGene:2689	UniProtKB:P01242
UMLS:C0084152	UMLS:C1415552	NCBIGene:3096	UniProtKB:P15822
UMLS:C0084219	UMLS:C0812317	NCBIGene:3055	UniProtKB:A8K4G3
UMLS:C0084219	UMLS:C0812317	NCBIGene:3055	UniProtKB:P08631
UMLS:C0084342	UMLS:C0812236	NCBIGene:389	UniProtKB:A0A024R0C8
UMLS:C0084342	UMLS:C0812236	NCBIGene:389	UniProtKB:P08134
UMLS:C0084347	UMLS:C1416881	NCBIGene:4004	UniProtKB:E9PK83
UMLS:C0084347	UMLS:C1416881	NCBIGene:4004	UniProtKB:P25800
UMLS:C0084474	UMLS:C1419850	NCBIGene:11075	UniProtKB:Q93045
UMLS:C0084718	UMLS:C1419022	NCBIGene:5702	UniProtKB:A0A140VK42
UMLS:C0084718	UMLS:C1419022	NCBIGene:5702	UniProtKB:P17980
UMLS:C0084796	UMLS:C1367601	NCBIGene:5327	UniProtKB:B4DN26
UMLS:C0084796	UMLS:C1367601	NCBIGene:5327	UniProtKB:P00750
UMLS:C0103396	UMLS:C1418970	NCBIGene:5645	UniProtKB:A6XMV9
UMLS:C0103396	UMLS:C1418970	NCBIGene:5645	UniProtKB:P07478
UMLS:C0103396	UMLS:C1418970	NCBIGene:5645	UniProtKB:Q5NV56
UMLS:C0103396	UMLS:C1418970	NCBIGene:5645	UniProtKB:Q6PK75
UMLS:C0104364	UMLS:C2240226	NCBIGene:29974	UniProtKB:B4E1E3
UMLS:C0104364	UMLS:C2240226	NCBIGene:29974	UniProtKB:F8W9F8
UMLS:C0104364	UMLS:C2240226	NCBIGene:29974	UniProtKB:Q9NQ94
UMLS:C0105421	UMLS:C0812385	NCBIGene:613	UniProtKB:P11274
UMLS:C0107719	UMLS:C0812201	NCBIGene:2113	UniProtKB:A8K725
UMLS:C0107719	UMLS:C0812201	NCBIGene:2113	UniProtKB:B4DW78
